Model:	LI-7810
SN:	TG10-01640
Software Version:	2.3.8
Timestamp:	2023-09-26 08:00:00
Timezone:	Europe/Copenhagen
DATAH	SECONDS	NANOSECONDS	NDX	DIAG	REMARK	DATE	TIME	H2O	CO2	CH4	CAVITY_P	CAVITY_T	LASER_PHASE_P	LASER_T	RESIDUAL	RING_DOWN_TIME	THERMAL_ENCLOSURE_T	PHASE_ERROR	LASER_T_SHIFT	INPUT_VOLTAGE	CHK
DATAU	secs	nsecs	index	diag		date	time	ppm	ppm	ppb	kPa	°C	kPa	°C		µsecs	°C	counts	°C	V	CHK
DATA	1695708030	111957073	2393	256	""	2023-09-26	08:00:30	nan	nan	nan	102.183	31.7673	102.171	39.7113	0	0	32.5239	-16000	0	15.9109	177
DATA	1695708031	111957073	2397	256	""	2023-09-26	08:00:31	nan	nan	nan	102.183	31.7847	102.171	39.7113	0	0	32.5409	-16000	0	15.9105	181
DATA	1695708032	111645936	2401	256	""	2023-09-26	08:00:32	nan	nan	nan	102.183	31.8026	102.171	39.7113	0	0	32.5579	-16000	0	15.9105	169
DATA	1695708033	111645936	2405	256	""	2023-09-26	08:00:33	nan	nan	nan	102.183	31.8188	102.171	39.7113	0	0	32.5745	-16000	0	15.9097	189
DATA	1695708034	111645936	2409	256	""	2023-09-26	08:00:34	nan	nan	nan	102.183	31.8352	102.172	39.7113	0	0	32.5907	-16000	0	15.9097	189
DATA	1695708035	111645936	2413	256	""	2023-09-26	08:00:35	nan	nan	nan	102.183	31.8524	102.171	39.7113	0	0	32.6078	-16000	0	15.9093	182
DATA	1695708036	111645936	2417	256	""	2023-09-26	08:00:36	nan	nan	nan	102.183	31.8698	102.172	39.7113	0	0	32.6255	-16000	0	15.9089	203
DATA	1695708037	111645936	2421	256	""	2023-09-26	08:00:37	nan	nan	nan	102.183	31.8868	102.171	39.7113	0	0	32.6428	-16000	0	15.9089	200
DATA	1695708038	111645936	2425	256	""	2023-09-26	08:00:38	nan	nan	nan	102.183	31.904	102.172	39.7113	0	0	32.6599	-16000	0	15.9089	151
DATA	1695708039	111645936	2429	256	""	2023-09-26	08:00:39	nan	nan	nan	102.183	31.9212	102.173	39.7113	0	0	32.677	-16000	0	15.9089	150
DATA	1695708040	111331939	2433	256	""	2023-09-26	08:00:40	nan	nan	nan	102.183	31.9384	102.173	39.7113	0	0	32.694	-16000	0	15.9089	133
DATA	1695708041	111331939	2437	256	""	2023-09-26	08:00:41	nan	nan	nan	102.183	31.9553	102.173	39.7113	0	0	32.7104	-16000	0	15.9085	174
DATA	1695708042	111331939	2441	256	""	2023-09-26	08:00:42	nan	nan	nan	102.183	31.9723	102.173	39.7113	0	0	32.7269	-16000	0	15.9085	182
DATA	1695708043	111331939	2445	256	""	2023-09-26	08:00:43	nan	nan	nan	102.182	31.9894	102.174	39.7113	0	0	32.7438	-16000	0	15.9085	195
DATA	1695708044	111331939	2449	256	""	2023-09-26	08:00:44	nan	nan	nan	102.183	32.0064	102.173	39.7113	0	0	32.7609	-16000	0	15.9085	182
DATA	1695708045	111331939	2453	256	""	2023-09-26	08:00:45	nan	nan	nan	102.182	32.0238	102.173	39.7113	0	0	32.778	-16000	0	15.9081	129
DATA	1695708046	111331939	2457	256	""	2023-09-26	08:00:46	nan	nan	nan	102.183	32.041	102.173	39.7113	0	0	32.7956	-16000	0	15.9081	133
DATA	1695708047	111011028	2461	256	""	2023-09-26	08:00:47	nan	nan	nan	102.183	32.0582	102.174	39.7113	0	0	32.8128	-16000	0	15.9081	165
DATA	1695708048	111011028	2465	256	""	2023-09-26	08:00:48	nan	nan	nan	102.183	32.0755	102.174	39.7113	0	0	32.8299	-16000	0	15.9081	182
DATA	1695708049	111011028	2469	256	""	2023-09-26	08:00:49	nan	nan	nan	102.182	32.0924	102.173	39.7113	0	0	32.8469	-16000	0	15.9081	183
DATA	1695708050	111011028	2473	256	""	2023-09-26	08:00:50	nan	nan	nan	102.184	32.1082	102.174	39.7113	0	0	32.8625	-16000	0	15.9073	156
DATA	1695708051	111011028	2477	256	""	2023-09-26	08:00:51	nan	nan	nan	102.182	32.1257	102.173	39.7113	0	0	32.8795	-16000	0	15.9073	171
DATA	1695708052	111011028	2481	256	""	2023-09-26	08:00:52	nan	nan	nan	102.182	32.1434	102.174	39.7113	0	0	32.8967	-16000	0	15.9073	167
DATA	1695708053	111011028	2485	256	""	2023-09-26	08:00:53	nan	nan	nan	102.183	32.1606	102.174	39.7113	0	0	32.9137	-16000	0	15.9073	165
DATA	1695708054	111011028	2489	256	""	2023-09-26	08:00:54	nan	nan	nan	102.182	32.1776	102.173	39.7113	0	0	32.9307	-16000	0	15.9065	177
DATA	1695708055	110702037	2493	256	""	2023-09-26	08:00:55	nan	nan	nan	102.183	32.1948	102.175	39.7113	0	0	32.9477	-16000	0	15.9061	188
DATA	1695708056	110702037	2497	256	""	2023-09-26	08:00:56	nan	nan	nan	102.183	32.2121	102.175	39.7113	0	0	32.9653	-16000	0	15.9058	180
DATA	1695708057	110702037	2501	256	""	2023-09-26	08:00:57	nan	nan	nan	102.183	32.2292	102.174	39.7113	0	0	32.9823	-16000	0	15.9058	175
DATA	1695708058	110702037	2505	256	""	2023-09-26	08:00:58	nan	nan	nan	102.183	32.2457	102.175	39.7113	0	0	32.9987	-16000	0	15.9058	196
DATA	1695708059	110702037	2509	256	""	2023-09-26	08:00:59	nan	nan	nan	102.182	32.2621	102.175	39.7113	0	0	33.0149	-16000	0	15.9046	173
DATA	1695708060	110702037	2513	256	""	2023-09-26	08:01:00	nan	nan	nan	102.182	32.2791	102.175	39.7113	0	0	33.032	-16000	0	15.9058	101
DATA	1695708061	110702037	2517	256	""	2023-09-26	08:01:01	nan	nan	nan	102.182	32.2969	102.175	39.7113	0	0	33.0489	-16000	0	15.9058	178
DATA	1695708062	110389947	2521	256	""	2023-09-26	08:01:02	nan	nan	nan	102.182	32.3143	102.175	39.7113	0	0	33.0657	-16000	0	15.9058	178
DATA	1695708063	110389947	2525	256	""	2023-09-26	08:01:03	nan	nan	nan	102.183	32.3313	102.175	39.7113	0	0	33.0827	-16000	0	15.9058	183
DATA	1695708064	110389947	2529	256	""	2023-09-26	08:01:04	nan	nan	nan	102.183	32.3485	102.175	39.7113	0	0	33.0999	-16000	0	15.9054	205
DATA	1695708065	110389947	2533	256	""	2023-09-26	08:01:05	nan	nan	nan	102.182	32.3657	102.175	39.7113	0	0	33.117	-16000	0	15.9054	136
DATA	1695708066	110389947	2537	256	""	2023-09-26	08:01:06	nan	nan	nan	102.182	32.3826	102.176	39.7113	0	0	33.1347	-16000	0	15.9054	195
DATA	1695708067	110389947	2541	256	""	2023-09-26	08:01:07	nan	nan	nan	102.182	32.3983	102.175	39.7113	0	0	33.1501	-16000	0	15.9046	188
DATA	1695708068	110389947	2545	256	""	2023-09-26	08:01:08	nan	nan	nan	102.182	32.4153	102.175	39.7113	0	0	33.1671	-16000	0	15.9042	188
DATA	1695708069	110389947	2549	256	""	2023-09-26	08:01:09	nan	nan	nan	102.182	32.4328	102.175	39.7113	0	0	33.1839	-16000	0	15.9042	204
DATA	1695708070	110068082	2553	256	""	2023-09-26	08:01:10	nan	nan	nan	102.182	32.45	102.175	39.7113	0	0	33.201	-16000	0	15.9042	253
DATA	1695708071	110068082	2557	256	""	2023-09-26	08:01:11	nan	nan	nan	102.183	32.4678	102.176	39.7113	0	0	33.2179	-16000	0	15.9042	181
DATA	1695708072	110068082	2561	256	""	2023-09-26	08:01:12	nan	nan	nan	102.182	32.485	102.177	39.7113	0	0	33.2349	-16000	0	15.9042	121
DATA	1695708073	110068082	2565	256	""	2023-09-26	08:01:13	nan	nan	nan	102.182	32.502	102.176	39.7113	0	0	33.2517	-16000	0	15.9038	118
DATA	1695708074	110068082	2569	256	""	2023-09-26	08:01:14	nan	nan	nan	102.182	32.519	102.177	39.7113	0	0	33.2687	-16000	0	15.9038	141
DATA	1695708075	110068082	2573	256	""	2023-09-26	08:01:15	nan	nan	nan	102.183	32.5357	102.176	39.7113	0	0	33.2854	-16000	0	15.903	131
