SN:3K430000002098 BD:Feb 22 2019 VC:6c0e877 MD5:23c7c984f9ae360a656e7db26e850528
SysTime,                      Time,      [CH4]_ppm,   [CH4]_ppm_sd,      [CO2]_ppm,   [CO2]_ppm_sd,      [H2O]_ppm,   [H2O]_ppm_sd,     [CH4]d_ppm,  [CH4]d_ppm_sd,     [CO2]d_ppm,  [CO2]d_ppm_sd,      GasP_torr,   GasP_torr_sd,         GasT_C,      GasT_C_sd,         AmbT_C,      AmbT_C_sd,         RD0_us,      RD0_us_sd,            Gnd,         Gnd_sd,         LTC0_v,      LTC0_v_sd,         Batt_v,      Batt_v_sd,   BATT_PERCENT,BATT_PERCENT_sd,       Fit_Flag,      MIU_VALVE,       MIU_DESC
26/04/2022 09:59:37.619, 26/04/2022 07:59:37.550, 2.01359e+0, 0.00000e+0, 4.27351e+2, 0.00000e+0, 7.84909e+3, 0.00000e+0, 2.02952e+0, 0.00000e+0, 4.30732e+2, 0.00000e+0, 4.99394e+2, 0.00000e+0, 1.63655e+1, 0.00000e+0, -4.39021e-1, 0.00000e+0, 2.87374e+0, 0.00000e+0, 8.44502e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 5.00397e+0, 0.00000e+0, 8.99982e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 09:59:38.614, 26/04/2022 07:59:38.544, 2.01327e+0, 0.00000e+0, 4.29130e+2, 0.00000e+0, 7.90666e+3, 0.00000e+0, 2.02932e+0, 0.00000e+0, 4.32550e+2, 0.00000e+0, 4.99899e+2, 0.00000e+0, 1.63644e+1, 0.00000e+0, -4.38770e-1, 0.00000e+0, 2.87297e+0, 0.00000e+0, 8.44402e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 5.00251e+0, 0.00000e+0, 8.99047e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 09:59:39.615, 26/04/2022 07:59:39.539, 2.01222e+0, 0.00000e+0, 4.28011e+2, 0.00000e+0, 7.96151e+3, 0.00000e+0, 2.02837e+0, 0.00000e+0, 4.31446e+2, 0.00000e+0, 5.00383e+2, 0.00000e+0, 1.63652e+1, 0.00000e+0, -4.38124e-1, 0.00000e+0, 2.87354e+0, 0.00000e+0, 8.44745e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 5.00182e+0, 0.00000e+0, 8.98600e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 09:59:40.607, 26/04/2022 07:59:40.532, 2.01226e+0, 0.00000e+0, 4.27131e+2, 0.00000e+0, 7.88949e+3, 0.00000e+0, 2.02826e+0, 0.00000e+0, 4.30527e+2, 0.00000e+0, 5.01229e+2, 0.00000e+0, 1.63642e+1, 0.00000e+0, -4.37270e-1, 0.00000e+0, 2.87331e+0, 0.00000e+0, 8.44901e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 5.00317e+0, 0.00000e+0, 8.99468e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 09:59:41.605, 26/04/2022 07:59:41.527, 2.00841e+0, 0.00000e+0, 4.21721e+2, 0.00000e+0, 7.88530e+3, 0.00000e+0, 2.02437e+0, 0.00000e+0, 4.25073e+2, 0.00000e+0, 5.02446e+2, 0.00000e+0, 1.63681e+1, 0.00000e+0, -4.39002e-1, 0.00000e+0, 2.87315e+0, 0.00000e+0, 8.44858e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 5.00539e+0, 0.00000e+0, 9.00889e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 09:59:42.602, 26/04/2022 07:59:42.521, 2.01086e+0, 0.00000e+0, 4.26411e+2, 0.00000e+0, 7.96294e+3, 0.00000e+0, 2.02701e+0, 0.00000e+0, 4.29833e+2, 0.00000e+0, 5.01573e+2, 0.00000e+0, 1.63682e+1, 0.00000e+0, -4.36439e-1, 0.00000e+0, 2.87376e+0, 0.00000e+0, 8.45132e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 5.00515e+0, 0.00000e+0, 9.00735e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 09:59:43.588, 26/04/2022 07:59:43.516, 2.01189e+0, 0.00000e+0, 4.22423e+2, 0.00000e+0, 7.97382e+3, 0.00000e+0, 2.02806e+0, 0.00000e+0, 4.25819e+2, 0.00000e+0, 5.01204e+2, 0.00000e+0, 1.63692e+1, 0.00000e+0, -4.41068e-1, 0.00000e+0, 2.87361e+0, 0.00000e+0, 8.44792e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 5.00299e+0, 0.00000e+0, 8.99355e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 09:59:44.583, 26/04/2022 07:59:44.511, 2.01292e+0, 0.00000e+0, 4.30905e+2, 0.00000e+0, 7.95143e+3, 0.00000e+0, 2.02906e+0, 0.00000e+0, 4.34359e+2, 0.00000e+0, 5.00903e+2, 0.00000e+0, 1.63700e+1, 0.00000e+0, -4.37429e-1, 0.00000e+0, 2.87299e+0, 0.00000e+0, 8.44730e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 5.00237e+0, 0.00000e+0, 8.98952e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 09:59:45.576, 26/04/2022 07:59:45.505, 2.01303e+0, 0.00000e+0, 4.26424e+2, 0.00000e+0, 7.87479e+3, 0.00000e+0, 2.02901e+0, 0.00000e+0, 4.29809e+2, 0.00000e+0, 4.99814e+2, 0.00000e+0, 1.63727e+1, 0.00000e+0, -4.37824e-1, 0.00000e+0, 2.87389e+0, 0.00000e+0, 8.44974e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 5.00062e+0, 0.00000e+0, 8.97831e+1, 0.00000e+0, 3, -1, Disabled
26/04/2022 09:59:46.575, 26/04/2022 07:59:46.500, 2.01294e+0, 0.00000e+0, 4.25987e+2, 0.00000e+0, 7.91916e+3, 0.00000e+0, 2.02901e+0, 0.00000e+0, 4.29387e+2, 0.00000e+0, 4.99818e+2, 0.00000e+0, 1.63796e+1, 0.00000e+0, -4.37250e-1, 0.00000e+0, 2.87374e+0, 0.00000e+0, 8.45317e-2, 0.00000e+0, -8.25259e-1, 0.00000e+0, 5.00251e+0, 0.00000e+0, 8.99046e+1, 0.00000e+0, 3, -1, Disabled
